1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,2
10,2
11,2
12,38
13,25
14,91
15,188
16,414
17,790
18,1285
19,2691
20,4056
21,6462
22,10310
23,15068
24,23506
25,42398
26,54603
27,73775
28,79311
29,44119
30,43202
31,31064
32,7769
33,5651
34,3014
35,1061
36,194
37,75
38,1
39,26
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
