0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,10
18,20
19,80
20,2392
21,8699
22,15222
23,51767
24,73775
25,78372
26,84962
27,72918
28,71949
29,73663
30,74065
31,73525
32,70600
33,68446
34,65074
35,61407
36,55795
37,54176
38,49740
39,42300
40,42302
41,38363
42,34715
43,29327
44,29951
45,24971
46,25494
47,21154
48,19060
49,16921
50,19347
51,14842
52,12723
53,12210
54,12483
55,9974
56,10720
57,8632
58,7716
59,7371
60,6482
61,6166
62,7062
63,5279
64,3747
65,3979
66,4865
67,3777
68,3576
69,3121
70,2669
71,2931
72,2376
73,1742
74,2350
75,2438
76,1771
77,1533
78,1304
79,1167
80,1197
81,1425
82,1347
83,1103
84,714
85,567
86,883
87,952
88,432
89,628
90,668
91,595
92,517
93,481
94,238
95,283
96,403
97,356
98,378
99,432
100,157
101,178
102,180
103,224
104,206
105,176
106,163
107,240
108,141
109,79
110,123
111,170
112,63
113,61
114,82
115,88
116,68
117,151
118,78
119,46
120,42
121,20
122,38
123,68
124,20
125,68
126,64
127,39
128,21
129,27
130,16
131,31
132,30
133,8
134,14
135,34
136,12
137,30
138,12
139,34
140,8
141,8
142,0
143,2
144,18
145,2
146,12
147,31
148,13
149,5
150,2
151,0
152,0
153,12
154,2
155,6
156,0
157,10
158,2
159,10
160,4
161,0
162,6
163,2
164,0
165,0
166,0
167,6
168,0
169,0
170,6
171,7
172,0
173,0
174,0
175,0
176,0
177,2
178,0
179,0
180,2
181,2
182,0
183,2
184,0
185,0
186,0
187,2
188,0
189,0
190,0
191,0
192,2
193,0
194,0
195,2
196,1
